Company,Round_Size_USD,Stage,Vertical,Sub_Vertical,Location_City,Location_Country,Region,AI_Related,AI_Type,Valuation_USD,Lead_Investors,Date_Announced
OpenAI,40000000000,Growth,AI,Foundation Models,San Francisco,USA,North America,Yes,Core AI,500000000000,SoftBank,Mar-2025
Anthropic,13000000000,Series F,AI,Foundation Models,San Francisco,USA,North America,Yes,Core AI,183000000000,"Iconiq, Fidelity, Lightspeed",Sep-2025
Project Prometheus,6200000000,Seed,AI,Physical AI/Robotics,San Francisco,USA,North America,Yes,Physical AI,,Jeff Bezos,Nov-2025
Databricks,4000000000,Series L,AI,Data Infrastructure,San Francisco,USA,North America,Yes,AI Infrastructure,134000000000,,2025
Anthropic (earlier),3500000000,Growth,AI,Foundation Models,San Francisco,USA,North America,Yes,Core AI,61500000000,Lightspeed Venture Partners,Mar-2025
Anysphere (Cursor),2300000000,Growth,AI,Developer Tools,San Francisco,USA,North America,Yes,AI Tools,,Accel Coatue,Nov-2025
Thinking Machines Lab,2000000000,Seed,AI,Foundation Models,San Francisco,USA,North America,Yes,Core AI,12000000000,"Andreessen Horowitz, Nvidia, Accel, AMD",Jul-2025
Safe Superintelligence (SSI),2000000000,Series B,AI,Safety/Alignment,San Francisco,USA,North America,Yes,Core AI,32000000000,Various,Apr-2025
Reflection AI,2000000000,Series B,AI,Coding Agent,New York,USA,North America,Yes,AI Tools,8000000000,Nvidia,Oct-2025
Polymarket,2000000000,Growth,Fintech,Prediction Markets,New York,USA,North America,No,,,Intercontinental Exchange,Oct-2025
Mistral AI,1870000000,Series C,AI,Foundation Models,Paris,France,Europe,Yes,Core AI,,Various,2025
Lambda,1500000000,Growth,AI,Infrastructure,San Francisco,USA,North America,Yes,AI Infrastructure,,TWG Global,Nov-2025
Crusoe Energy,1400000000,Growth,AI,Data Centers,Denver,USA,North America,Yes,AI Infrastructure,,"Mubadala, Valor Equity Partners",Oct-2025
Cerebras Systems,1100000000,Series G,AI,Infrastructure,Sunnyvale,USA,North America,Yes,AI Infrastructure,8100000000,"Fidelity, Atreides Management",2025
Kalshi,1000000000,Growth,Fintech,Prediction Markets,New York,USA,North America,No,,,Sequoia Capital,Nov-2025
Base Power,1000000000,Growth,Cleantech,Energy Storage,Austin,USA,North America,No,,,Addition,Oct-2025
Oura,900000000,Growth,Consumer,Wearables,Oulu,Finland,Europe,No,,,Fidelity,Oct-2025
Pacific Fusion,900000000,Series A,DeepTech,Nuclear Fusion,USA,USA,North America,No,,,Various,2025
Groq,750000000,Series D-3,AI,Infrastructure,Mountain View,USA,North America,Yes,AI Infrastructure,6900000000,Disruptive,2025
Helsing,660000000,Series D,Defense Tech,AI Defense,Munich,Germany,Europe,Yes,AI Defense,,Various,2025
Neuralink,650000000,Growth,DeepTech,Brain Interface,Fremont,USA,North America,Partially,,,Various,May-2025
Kailera Therapeutics,600000000,Series B,Biotech,Obesity,USA,USA,North America,No,,,Various,Oct-2025
Quantinuum,600000000,Series B,DeepTech,Quantum Computing,Broomfield,USA,North America,Partially,Quantum-AI,,Nvidia,Aug-2025
Isomorphic Labs,600000000,Venture,AI,Drug Discovery,London,UK,Europe,Yes,AI for Science,,Various,Q1-2025
Saronic,600000000,Series C,Defense Tech,Maritime,Austin,USA,North America,Yes,AI Defense,,Various,Feb-2025
Chaos Industries,510000000,Growth,Defense Tech,Counter-Drone,USA,USA,North America,Yes,AI Defense,4500000000,Valor Equity Partners,2025
Cohere,500000000,Series D,AI,Foundation Models,Toronto,Canada,North America,Yes,Core AI,,Various,Aug-2025
Cognition AI (Devin),500000000,Series C,AI,Developer Tools,San Francisco,USA,North America,Yes,AI Tools,9800000000,Various,Aug-2025
NinjaOne,500000000,Series C Extension,Cybersecurity,IT Management,Austin,USA,North America,Partially,,5000000000,Iconiq Growth,Feb-2025
Unconventional AI,475000000,Seed,AI,General AI,San Francisco,USA,North America,Yes,Core AI,4500000000,"Andreessen Horowitz, Lightspeed",Dec-2025
SandboxAQ,450000000,Series E,AI,Quantum/AI,Palo Alto,USA,North America,Yes,Core AI,5700000000,"Nvidia, Google, Ray Dalio",Apr-2025
Zepto,450000000,Pre-IPO,Consumer,Quick Commerce,Mumbai,India,Asia,No,,7000000000,CalPERS,Oct-2025
Armis,435000000,Growth,Cybersecurity,IoT Security,Palo Alto,USA,North America,Partially,,6100000000,Various,2025
Field AI,405000000,Series B,AI,Robotics/Autonomous,USA,USA,North America,Yes,Physical AI,,Various,Aug-2025
Physical Intelligence,400000000,Growth,AI,Robotics/AI,San Francisco,USA,North America,Yes,Physical AI,,Various,2025
Cognition AI,400000000,Series C,AI,Developer Tools,San Francisco,USA,North America,Yes,AI Tools,10200000000,Founders Fund,2025
Cyera,400000000,Late Stage,Cybersecurity,Data Security,Tel Aviv,Israel,Middle East,Yes,AI Security,9000000000,"Blackstone, Sequoia",Dec-2025
Tubulis,361000000,Series C,Biotech,ADC Therapeutics,Munich,Germany,Europe,No,,,Various,2025
Apptronik,350000000,Growth,Robotics,Humanoid,Austin,USA,North America,Yes,Physical AI,,"B Capital, Capital Factory, Google",Feb-2025
Lila Sciences,350000000,Series A,AI,Science/Biotech,Cambridge,USA,North America,Yes,AI for Science,,"Braidwell, Collective Global",2025
InMobi,350000000,Secondary,AdTech,Mobile Ads,Bangalore,India,Asia,No,,,Various,2025
Galactic Energy,335000000,Series,Space Tech,Launch,Beijing,China,Asia,No,,,Various,Q3-2025
Black Forest Labs,300000000,Series B,AI,Image Generation,Freiburg,Germany,Europe,Yes,Generative AI,,Various,2025
Together AI,305000000,Series B,AI,Infrastructure,San Francisco,USA,North America,Yes,AI Infrastructure,3300000000,"Prosperity7, General Catalyst",Feb-2025
Mercury,300000000,Series C,Fintech,Digital Banking,San Francisco,USA,North America,No,,3500000000,"Sequoia, Coatue, Andreessen Horowitz",2025
Airwallex,300000000,Series F,Fintech,Payments,Melbourne,Australia,Oceania,No,,6200000000,Various,2025
Abridge,300000000,Series E,AI,Healthcare,Pittsburgh,USA,North America,Yes,AI Healthcare,5300000000,Various,2025
Periodic Labs,300000000,Seed,AI,Science,San Francisco,USA,North America,Yes,AI for Science,,"Felicis, Andreessen Horowitz, Nvidia",Sep-2025
Kardigan,300000000,Series A (Launch),Biotech,Cardiovascular,USA,USA,North America,No,,,Various,Jan-2025
Orbital Therapeutics,300000000,Series A,Biotech,RNA Medicine,USA,USA,North America,Yes,AI Biotech,,Various,2025
Runway,308000000,Series D,AI,Media/Video,San Francisco,USA,North America,Yes,Generative AI,3000000000,"General Atlantic, SoftBank, Nvidia",Apr-2025
Eon,300000000,Series D,AI,Enterprise,Tel Aviv,Israel,Middle East,Yes,AI Tools,4000000000,Various,2025
