Vertical,Estimated_2025_Funding_USD,Percentage_of_Total,YoY_Trend,AI_Prevalence,Key_Players,Investment_Outlook
AI Foundation Models,60000000000,15%,Strong Growth,100%,"OpenAI, Anthropic, xAI, Thinking Machines Lab",Hot
AI Infrastructure,20000000000,5%,Strong Growth,100%,"Lambda, Cerebras, Upscale AI",Hot
AI Applications,30000000000,7%,Strong Growth,100%,"Anysphere, Cognition, You.com",Hot
AI for Science,3000000000,1%,Emerging,100%,"Lila Sciences, Periodic Labs",Hot
Fintech,12000000000,3%,Stable,30%,"Ramp, Kalshi, Stripe",Moderate
Biotech/Life Sciences,14000000000,3%,Declining,15%,"Kailera, Tubulis, Kardigan",Cooling
Cybersecurity,9000000000,2%,Mixed,40%,"NinjaOne, Island, 7AI, Wiz",Moderate
Defense Tech,7700000000,2%,Record High,60%,"Chaos Industries, Castelion, Anduril",Hot
Robotics/Physical AI,8500000000,2%,Strong Growth,80%,"Figure, Apptronik, Field AI, Neura",Hot
Healthtech,7000000000,2%,Stable,35%,"Function Health, OpenEvidence, Distalmotion",Moderate
Cleantech/Energy,8700000000,2%,Sharp Decline,10%,"Base Power, Electra, Chestnut Carbon",Cooling
Space Tech,6000000000,1.5%,Growing,20%,"K2 Space, True Anomaly, Impulse Space",Moderate
Enterprise SaaS,10000000000,2.5%,Stable,45%,"Databricks, NinjaOne, SmartHR",Moderate
Consumer/D2C,3500000000,1%,Declining,15%,"Zepto, GIVA, Snitch",Cooling
Quantum Computing,1500000000,0.4%,Emerging,50%,Quantinuum,Emerging
DeepTech/Hardware,5000000000,1.2%,Growing,40%,Various,Moderate
Telecom/Connectivity,1000000000,0.2%,Stable,10%,Airalo,Stable
Other,50000000000,12%,Various,30%,Various,Mixed
