Region,Country,City,Estimated_2025_Funding_USD,YoY_Change,Top_Verticals,New_Unicorns_2025,Key_Strengths
North America,USA,San Francisco Bay Area,122000000000,+80%,"AI, Foundation Models, Dev Tools",20+,"AI talent, top VCs, Stanford/Berkeley ecosystem"
North America,USA,New York,15000000000,+20%,"Fintech, Enterprise, Consumer",5,"Financial talent, corporate HQs"
North America,USA,Austin,8000000000,+40%,"Robotics, Energy, Defense",3,"Lower costs, Dell/Tesla ecosystem"
North America,USA,Boston,10000000000,+10%,"Biotech, Life Sciences, AI",4,"MIT/Harvard, pharma talent"
North America,USA,Los Angeles,5000000000,+15%,"Consumer, Entertainment, AI",2,"Entertainment industry, SpaceX ecosystem"
North America,USA,Seattle,6000000000,+25%,"Cloud, AI, Enterprise",2,"Amazon/Microsoft talent"
North America,Canada,Toronto,2500000000,+15%,"AI, Fintech",1,"AI research, Vector Institute"
Europe,UK,London,12000000000,-5%,"Fintech, Healthtech, AI",3,"Financial expertise, talent pool"
Europe,Germany,Berlin,4000000000,+5%,"E-commerce, Gaming, Climate",2,"Creative hub, lower costs"
Europe,Germany,Munich,2500000000,+10%,"Biotech, Auto-tech, Deep Tech",1,"Industrial base, TUM"
Europe,France,Paris,5000000000,+15%,"Deep Tech, AI, Enterprise",3,"Government support, universities"
Europe,Netherlands,Amsterdam,2000000000,Stable,"Fintech, Logistics",1,"International hub"
Europe,Sweden,Stockholm,1500000000,-10%,"Fintech, Gaming",0,"Spotify/Klarna ecosystem"
Europe,Switzerland,Zurich/Lausanne,2000000000,+20%,"Biotech, Fintech, Robotics",1,"ETH/EPFL, pharma"
Europe,Israel,Tel Aviv,4000000000,-15%,"Cybersecurity, AI, Defense",2,"Military tech talent"
Asia,Singapore,Singapore,2400000000,+202%,"Fintech, B2B SaaS, eSIM",1,"SEA gateway, Temasek"
Asia,India,Bangalore,5000000000,-10%,"Fintech, B2B SaaS, D2C",3,"Tech talent, cost advantage"
Asia,India,Mumbai,3000000000,+5%,"Fintech, Consumer",2,"Financial center"
Asia,China,Beijing,5000000000,-34%,"AI, Deep Tech",1,"State backing, universities"
Asia,China,Shanghai,3000000000,-30%,"Consumer, Fintech",0,"Commercial hub"
Asia,Japan,Tokyo,2000000000,+10%,"Enterprise SaaS, Robotics",0,"Corporate innovation"
Asia,South Korea,Seoul,1500000000,Stable,"Gaming, Consumer, AI",0,"Samsung/LG ecosystem"
Other,UAE,Dubai,500000000,+50%,"Fintech, Crypto",0,"Tax advantages, hub ambitions"
Other,Australia,Sydney,1000000000,Stable,"Fintech, Climate",0,"APAC expansion base"
